CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,QB,Zach Daniel (13175740),Zach Daniel,13175740,UTIL,3800,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,RB,Gary Brightwell (13175827),Gary Brightwell,13175827,CPT,3600,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,7.13
,,,,,,,WR,Drew Dixon (13175828),Drew Dixon,13175828,CPT,3300,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Stanley Berryhill III (13175743),Stanley Berryhill III,13175743,UTIL,3200,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,4.95
,,,,,,,RB,Fred Holly III (13175745),Fred Holly III,13175745,UTIL,3200,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,6.39
,,,,,,,K,Michael Boyle (13175823),Michael Boyle,13175823,UTIL,3000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,K,Nathan Halsell (13175825),Nathan Halsell,13175825,UTIL,3000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,RB,Dayton Furuta (13175744),Dayton Furuta,13175744,UTIL,3000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,7.23
,,,,,,,WR,Mekel Ealy (13175746),Mekel Ealy,13175746,UTIL,3000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,QB,Taylor Graham (13175747),Taylor Graham,13175747,UTIL,3000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,QB,Jeremy Higgins (13175748),Jeremy Higgins,13175748,UTIL,3000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Boobie Curry (13175750),Boobie Curry,13175750,UTIL,3000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,RB,Nathan Tilford (13175829),Nathan Tilford,13175829,CPT,3000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0.1
,,,,,,,WR,Jake Peters (13175830),Jake Peters,13175830,CPT,2700,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0.9
,,,,,,,RB,Hekili Keliiliki (13175835),Hekili Keliiliki,13175835,CPT,2700,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,RB,Miles Reed (13175752),Miles Reed,13175752,UTIL,2600,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,1.64
,,,,,,,RB,Gary Brightwell (13175753),Gary Brightwell,13175753,UTIL,2400,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,7.13
,,,,,,,RB,Bam Smith (13175831),Bam Smith,13175831,CPT,2400,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,4.28
,,,,,,,WR,Bryce Wolma (13175836),Bryce Wolma,13175836,CPT,2400,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,2.98
,,,,,,,WR,Drew Dixon (13175754),Drew Dixon,13175754,UTIL,2200,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,RB,Bryce Coleman (13175832),Bryce Coleman,13175832,CPT,2100,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Jamarye Joiner (13175837),Jamarye Joiner,13175837,CPT,2100,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0.39
,,,,,,,RB,Nathan Tilford (13175755),Nathan Tilford,13175755,UTIL,2000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0.1
,,,,,,,WR,Jake Peters (13175756),Jake Peters,13175756,UTIL,1800,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0.9
,,,,,,,RB,Hekili Keliiliki (13175761),Hekili Keliiliki,13175761,UTIL,1800,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
