CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,WR,Nicholas Ducheine (13144052),Nicholas Ducheine,13144052,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Frankie Hammond (13144054),Frankie Hammond,13144054,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Clive Walford (13144055),Clive Walford,13144055,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Valdez Showers (13144056),Valdez Showers,13144056,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Latroy Pittman Jr. (13144057),Latroy Pittman Jr.,13144057,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,RB,Mark Herndon (13144058),Mark Herndon,13144058,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Standish Dobard (13144059),Standish Dobard,13144059,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,RB,Gus Edwards (13144060),Gus Edwards,13144060,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Brandon Powell (13144061),Brandon Powell,13144061,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,RB,Mark Walton (13144062),Mark Walton,13144062,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Antonio Callaway (13144063),Antonio Callaway,13144063,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Andres Saldivar (13144064),Andres Saldivar,13144064,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Elias Lugo-Fagundo (13144065),Elias Lugo-Fagundo,13144065,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Marshall Few (13144066),Marshall Few,13144066,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,RB,Michael Parrott (13144067),Michael Parrott,13144067,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Joshua Tse (13144068),Joshua Tse,13144068,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
